2024-01-08-16-57-01,136.725870,-162.501872
2024-01-08-16-57-02,137.752368,-147.091188
2024-01-08-16-57-03,138.775539,-131.927235
2024-01-08-16-57-04,139.776341,-118.038931
2024-01-08-16-57-05,140.777070,-103.252732
2024-01-08-16-57-06,141.790124,-86.365967
2024-01-08-16-57-08,142.827158,-70.925363
2024-01-08-16-57-09,143.857006,-55.493447
2024-01-08-16-57-10,145.165537,-36.190867
2024-01-08-16-57-11,146.172027,-21.446333
2024-01-08-16-57-12,147.184000,-7.165919
2024-01-08-16-57-13,148.201793,9.664982
2024-01-08-16-57-14,149.221939,25.132475
2024-01-08-16-57-15,150.278906,40.235309
2024-01-08-16-57-16,151.284530,45.964796
2024-01-08-16-57-20,155.334611,41.787932
2024-01-08-16-57-21,156.696967,23.158672
2024-01-08-16-57-22,157.704296,6.956385
2024-01-08-16-57-23,158.729653,-8.520698
2024-01-08-16-57-24,159.749634,-23.783147
2024-01-08-16-57-25,160.779144,-37.840116
2024-01-08-16-57-26,161.790570,-54.408003
2024-01-08-16-57-28,162.823066,-69.982259
2024-01-08-16-57-29,163.852106,-85.420050
2024-01-08-16-57-30,165.222596,-105.547675
2024-01-08-16-57-31,166.225850,-120.035929
2024-01-08-16-57-32,167.255865,-135.399669
2024-01-08-16-57-33,168.270660,-151.650089
2024-01-08-16-57-34,169.295186,-167.073661
2024-01-08-16-57-35,170.314325,-182.287081
2024-01-08-16-57-36,171.349209,-197.708805
2024-01-08-16-57-37,172.379154,-212.002273
2024-01-08-16-57-38,173.382311,-227.019676
2024-01-08-16-57-39,174.394283,-243.526364
2024-01-08-16-57-40,175.420624,-258.955074
2024-01-08-16-57-41,176.443834,-274.094560
2024-01-08-16-57-42,177.751442,-293.476364
2024-01-08-16-57-43,178.754144,-307.591397
2024-01-08-16-57-44,179.754763,-323.968573
2024-01-08-16-57-45,180.774628,-339.182796
2024-01-08-16-57-47,181.802314,-354.585816
2024-01-08-16-57-48,182.857218,-369.994368
2024-01-08-16-57-49,183.860738,-384.246156
2024-01-08-16-57-50,184.861303,-399.116872
2024-01-08-16-57-51,185.869949,-415.606553
2024-01-08-16-57-52,186.903954,-431.051260
2024-01-08-16-57-53,187.927650,-445.488467
2024-01-08-16-57-54,189.246685,-448.999859
2024-01-08-16-57-58,193.290341,-444.877081
2024-01-08-16-57-59,194.345736,-430.090860
2024-01-08-16-58-00,195.352290,-415.685864
2024-01-08-16-58-01,196.366017,-400.655309
2024-01-08-16-58-02,197.373159,-384.174326
2024-01-08-16-58-03,198.391213,-368.997740
2024-01-08-16-58-04,199.768622,-348.823311
2024-01-08-16-58-05,200.770120,-334.722234
2024-01-08-16-58-06,201.786424,-319.251487
2024-01-08-16-58-07,202.794453,-302.990129
2024-01-08-16-58-09,203.821183,-287.582855
2024-01-08-16-58-10,204.858051,-271.968374
2024-01-08-16-58-11,205.884191,-257.044859
2024-01-08-16-58-12,206.888336,-243.012712
2024-01-08-16-58-13,207.899419,-228.048451
2024-01-08-16-58-14,208.900306,-211.444243
2024-01-08-16-58-15,209.931062,-195.978081
2024-01-08-16-58-16,211.309687,-175.728818
2024-01-08-16-58-17,212.321076,-161.803829
2024-01-08-16-58-18,213.323929,-144.988617
2024-01-08-16-58-19,214.349064,-129.669076
2024-01-08-16-58-20,215.371653,-114.236870
2024-01-08-16-58-21,216.389552,-99.916783
2024-01-08-16-58-22,217.408844,-84.974965
2024-01-08-16-58-23,218.422318,-68.592046
2024-01-08-16-58-24,219.452061,-53.174022
